Subject,Year,URL,Understanding of the learning area,Description/Achievement,Content description
Drama,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,383,8346
Drama,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,383,8346
Drama,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,481,8620
Drama,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,481,8620
Drama,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,520,11073
Drama,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,520,11073
Drama,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,439,15831
Drama,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,439,15831
Drama,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,464,10045
Drama,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,464,10045
Media Arts,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,342,11718
Media Arts,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,416,9885
Media Arts,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,416,9885
Media Arts,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,481,13532
Media Arts,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,481,13532
Media Arts,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,504,16040
Media Arts,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,504,
Media Arts,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,433,
Media Arts,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,433,
Media Arts,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,429,
Media Arts,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/media-arts/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,429,
Music,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,352,
Music,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,429,
Music,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,429,
Music,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,510,
Music,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,510,
Music,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,580,
Music,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,580,
Music,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,469,
Music,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,469,
Music,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,499,
Music,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/music/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,499,
Visual Arts,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,338,
Visual Arts,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,403,
Visual Arts,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,403,
Visual Arts,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,468,
Visual Arts,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,468,
Visual Arts,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,516,
Visual Arts,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,516,
Visual Arts,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,412,
Visual Arts,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,412,
Visual Arts,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,469,
Visual Arts,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/visual-arts/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,469,
Arabic F-10 Sequence,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,245,
Arabic F-10 Sequence,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,388,
Arabic F-10 Sequence,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,388,
Arabic F-10 Sequence,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,406,
Arabic F-10 Sequence,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,406,
Arabic F-10 Sequence,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,370,
Arabic F-10 Sequence,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,370,
Arabic F-10 Sequence,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,351,
Arabic F-10 Sequence,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,351,
Arabic F-10 Sequence,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,382,
Arabic F-10 Sequence,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-f-10-sequence/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,382,
Arabic 7-10 Sequence,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-7-10-sequence/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,380,
Arabic 7-10 Sequence,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-7-10-sequence/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,380,
Arabic 7-10 Sequence,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-7-10-sequence/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,390,
Arabic 7-10 Sequence,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/arabic-7-10-sequence/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,390,
Auslan First-LL Pathway F-10,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,208,
Auslan First-LL Pathway F-10,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,339,
Auslan First-LL Pathway F-10,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,339,
Auslan First-LL Pathway F-10,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,343,
Auslan First-LL Pathway F-10,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,343,
Auslan First-LL Pathway F-10,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,321,
Auslan First-LL Pathway F-10,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,321,
Auslan First-LL Pathway F-10,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,301,
Auslan First-LL Pathway F-10,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,301,
Auslan First-LL Pathway F-10,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,323,
Auslan First-LL Pathway F-10,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-f-10-sequence/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,323,
Auslan First-LL Pathway 7-10,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-7-10-sequence/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,335,
Auslan First-LL Pathway 7-10,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-7-10-sequence/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,335,
Auslan First-LL Pathway 7-10,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-7-10-sequence/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,336,
Auslan First-LL Pathway 7-10,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-first-language-learner-pathway-7-10-sequence/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,336,
Auslan Second-LL Pathway F-10,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,201,
Auslan Second-LL Pathway F-10,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,319,
Auslan Second-LL Pathway F-10,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,319,
Auslan Second-LL Pathway F-10,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,316,
Auslan Second-LL Pathway F-10,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,316,
Auslan Second-LL Pathway F-10,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,317,
Auslan Second-LL Pathway F-10,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,317,
Auslan Second-LL Pathway F-10,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,279,
Auslan Second-LL Pathway F-10,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,279,
Auslan Second-LL Pathway F-10,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,300,
Auslan Second-LL Pathway F-10,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-f-10-sequence/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,300,
Auslan Second-LL Pathway 7-10,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-7-10-sequence/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,335,
Auslan Second-LL Pathway 7-10,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-7-10-sequence/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,335,
Auslan Second-LL Pathway 7-10,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-7-10-sequence/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,336,
Auslan Second-LL Pathway 7-10,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/auslan-second-language-learner-pathway-7-10-sequence/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,336,
Chinese Background LL F-10,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,248,
Chinese Background LL F-10,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,378,
Chinese Background LL F-10,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,378,
Chinese Background LL F-10,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,393,
Chinese Background LL F-10,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,393,
Chinese Background LL F-10,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,341,
Chinese Background LL F-10,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,341,
Chinese Background LL F-10,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,336,
Chinese Background LL F-10,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/chinese-background-language-learner-pathway-f-10-sequence/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,3469,336,
